,회사명,대표자명,주소,홈페이지,전화번호,팩스번호,업종,설립일
17,네이쳐스푸드,정문석,경기도 광주시 광남안로129번길 19 (목동),www.naturesfood.co.kr,031-765-8221,031-765-8223,육류 도매업,2015-11-03
18,농업회사법인글로미트,신임호,"서울특별시 성동구 무학로14길 27 (하왕십리동, JC빌딩) 301,302호",,02-3395-7801,02-3395-7803,육류 도매업,2006-05-01
19,농업회사법인금천,조흥연,경기도 안양시 만안구 박달동 683-2,www.ekcm.co.kr,0314452584,0314418018,육류 도매업,2002-04-06
20,농업회사법인내쇼날푸드,권기현,"경기도 하남시 하남대로 947 (풍산동, 하남테크노밸리U1CENTER) D동 305,306호",www.nationalfood.co.kr,0222950900,0222950901,육류 도매업,1999-06-25
21,농업회사법인다하누,최계경,강원도 영월군 주천면 주천시장길 22 (주천리) 1232-4,www.dahanoo.com,033-372-2256,033-372-2256,육류 도매업,2009-05-18
22,농업회사법인대성웰그로,김영숙,"경기도 성남시 수정구 위례서일로 26 (창곡동, 라크리움) 804, 805, 806호",,031-751-3400, ,육류 도매업,2010-04-01
23,농업회사법인선봉프라임,김종철,경기도 성남시 수정구 수정남로 120 (신흥동),,031-732-5800,031-732-5805,육류 도매업,2010-05-25
24,농업회사법인순우리,이조영,경기도 광주시 상태길81번길 31 (신현동),,0317266400, ,육류 도매업,2001-08-31
25,농업회사법인영식품,최시영,대전광역시 서구 우명길 33-8 (우명동),,042-581-2144,042-581-2145,육류 도매업,2014-09-22
26,농업회사법인우리한우,김범수,경기도 광주시 곤지암읍 경충대로498번길 131 (곤지암리),,0317686394,0317684852,육류 도매업,2016-01-11
27,농업회사법인원미트푸드,장정호,경기도 구리시 인창2로 77 (인창동) 전층,onemeatfood.modoo.at/,02-1661-5474,02-476-4166,육류 도매업,2016-04-01
28,다커머스에프앤씨,오강석,서울특별시 성동구 도선동 신한넥스텔 1210호,,070-4348-2025,-,육류 도매업,2008-01-04
29,대명미트,박정현,서울특별시 성동구 마장동 500 - 6,,02-2294-9771,02-2294-9733,육류 도매업,2000-04-11
30,"대상네트웍스(DAESANGNetworksCo.,Ltd.)",최성수,"서울특별시 성동구 청계천로12가길 68 (마장동, 창원빌딩)",daesangdsn.com/,02-2297-8886,02-2297-8887,육류 도매업,2003-11-04
31,대웅엠엔에프,손병두,경상남도 김해시 삼방동 104-7,,055-345-5970, ,육류 도매업,2001-02-05
32,대원벨리,김정훈,부산광역시 사상구 낙동대로1530번길 29 (삼락동),,0518173450,0518183450,육류 도매업,2012-03-01
33,대인계육유통,"현철호, 현광식",경기도 양주시 백석읍 중앙로 164-8 (복지리),,031-879-9072, ,육류 도매업,2009-01-01
34,대전맥시칸,유정헌,충청북도 청원군 현도면매봉리 148번지,,043-260-6820,043-260-6819,육류 도매업,1994-04-19
35,더그린하우스,이지배,경상남도 고성군 고성읍 월평로 169 (율대리),,070-4370-3095,02-555-5084,육류 도매업,2006-03-27
36,더베스트미트,박선희,경기도 용인시 기흥구 농서로 51 (농서동) 3층,,0222815595,0222816593,육류 도매업,2021-01-06
37,덕정무역,최덕순,서울특별시 서초구 서초동 1536-14 서울빌딩 4층,www.duckjung.com,02-598-4030,02-598-8480,육류 도매업,1996-06-22
38,덕호,진규황,부산광역시 사상구 사상로 557 (모라동),,0513012777,0513049970,육류 도매업,2011-06-27
39,도드람에프씨,김운경,"경기도 안성시 일죽면 일생로 185-11 (금산리, 도드람엘피씨공사), 도드람에프씨",bonrae.co.kr/,02-2138-5323,070-8677-8184,육류 도매업,2012-07-01
40,동아푸드,김영욱,"서울특별시 영등포구 63로 50 54층 (여의도동, 63한화생명빌딩)",www.dongahfood.com,02-514-3177,02-514-5482,육류 도매업,2002-07-02
41,동암비티,최준식,서울특별시 광진구 구의동 546-4 테크노마트빌딩 2711호,www.dongahm.com,3424-2500,3424-4308,육류 도매업,2002-08-23
42,디에이치통상,한대중,경기도 하남시 서하남로43번길 160-1 (감북동),,02-477-2980,02-477-2988,육류 도매업,2012-09-25
43,또봉이에프앤에스,최종성,"경기도 용인시 기흥구 죽전로 11 7층(보정동, 미래시티)",ttobongee.com,031-242-6877,031-889-3680,육류 도매업,2015-03-13
44,라온축산유통,문우철,서울특별시 성동구 마장동 470-4 대영빌딩 3층,,02-2291-9494,02-2299-3640,육류 도매업,2006-03-02
45,레인보우미트,김성수,경기도 용인시 기흥구 구성로78번길 4 레인보우빌딩 5층(언남동),,031-282-0379,031-624-0013,육류 도매업,2010-07-23
46,렉스팜,"박성우, 이인성",경기도 안성시 일죽면 금산리 596-1,www.lexfarm.com,031-671-9888,031-671-9777,육류 도매업,1999-07-14
47,리천,이영종,"경기도 이천시 경충대로 2773 (관고동, (주)리천)",,01036343194,0507-0315-3860,육류 도매업,2011-10-26
48,마밴,신진희,경상남도 김해시 인제로 436 2층(삼방동),,051-304-4478, ,육류 도매업,2015-03-05
49,마포미트,정환삼,서울특별시 성동구 마장동 818 현대아파트상가 306호,,02-2295-7795,02-2295-7784,육류 도매업,2004-02-18
50,맥시칸산업,김한,부산광역시 강서구 대저1동 2323,.,051-304-6000,051-941-6007,육류 도매업,1999-08-23
51,멕시카나,최광은,서울특별시 송파구 송파동 185-2,mexicana.co.kr,02-420-9995,02-417-1865,육류 도매업,2000-07-02
52,멘토미트,김병례,"서울특별시 성동구 고산자로 284 (행당동, 성동샤르망)421호",,02-2292-3331,02-2292-3379,육류 도매업,2006-07-26
53,모닝에프앤씨,임화영,"서울특별시 성동구 마장로42길 14 201호 (마장동, 세림아파트)",,01041716380, ,육류 도매업,2019-11-06
54,모아에프앤비,조철유,"서울특별시 강동구 양재대로98길 29 (둔촌동, 삼성아트빌) 2층 201호",,02-6423-3710, ,육류 도매업,2016-03-23
55,미스터해우,차대주,"경기도 부천시 옥산로 7 (중동, 리첸시아중동) A동 222호",,032-614-2315, ,육류 도매업,2007-11-16
56,미트라인,이기웅,경기도 안산시 상록구 양지편2길 44 (이동)101호,,031-409-1941,031-409-1943,육류 도매업,2001-10-24
57,미트스파클,이춘화,"서울특별시 성동구 마장로 273 , 상가동 206호 (마장동, 삼성아파트)",,070-7599-2826, ,육류 도매업,2020-03-06
58,미트엠트레이딩,한광복,경기도 용인시 기흥구 고매동 548,www.meataem.com,031-282-2177,031-287-2176,육류 도매업,2002-07-26
59,미트올,박순광,서울특별시 성동구 청계천로10다길 19 (마장동),,02-2297-8662, ,육류 도매업,2011-07-01
60,미트웨이브,유지원,"서울특별시 성동구 청계천로10가길 72-37 (마장동), 1층",,02-421-5885, ,육류 도매업,2002-01-23
61,미트이노베이션,이용진,"경기도 용인시 기흥구 공세로 16 (고매동), 2층 5호",,031-281-1220,031-285-1223,육류 도매업,2018-06-07
62,미트카운티,이수환,"서울특별시 성동구 고산자로 253 (도선동, 다남매Tower) 1101호",,0222826881,0222996882,육류 도매업,2012-03-23
63,미트패밀리,김민호,경기도 광명시 밤일안로14번길 9 (하안동),,02-866-4791,02-866-4795,육류 도매업,2005-07-01
64,미트플러스,김정훈,부산광역시 부산진구 동평로405번길 63 (양정동),,07074341825, ,육류 도매업,2012-05-16
65,백두대간영농조합법인,김도영,"강원도 강릉시 정원로 54 (교동, 주니어타운 9층)",,033-644-4467,033-644-1944,육류 도매업,2004-08-26
66,베스트미트,박성원,서울특별시 성동구 마장로33길 73 그린빌딩 201호,,02-2281-1181,02-2281-6593,육류 도매업,2000-08-08
67,보담,이승수,"강원도 원주시 저금어지길 456 (가현동, 강원엘피씨)",,070-5003-6505,033-644-1944,육류 도매업,1996-08-17
68,보보스미트트레이딩,김영태,서울특별시 성동구 마장로33길 73 동호빌딩 1층 (마장동),,02-2291-4791,02-2299-4791,육류 도매업,2004-01-27
69,보성패션,임동신,부산광역시 부산진구 범천1동 839-12,,051-643-2411,051-632-2591,육류 도매업,1989-07-01
70,부강에프에스,홍기훈,"경기도 용인시 기흥구 동탄기흥로 776 (고매동, 강동냉장)",,010-3265-1213,02-3443-4302,육류 도매업,2013-05-21
71,부민축산,"고인성, 김성태",부산광역시 사상구 사상로565번길 19 (모라동),,051-992-0407,051-992-0406,육류 도매업,2015-07-01
72,블랙쎄븐,이상수,경기도 용인시 기흥구 기흥단지로136번길 25-10,,031-275-3035, ,육류 도매업,2009-07-01
73,비앤피아이앤씨,조학철,서울특별시 강남구 역삼동 837-11 유니온센타 1610호,,02-553-6130,02-553-6132,육류 도매업,2011-03-02
74,비에프인터내셔날,김태형,경기도 성남시 수정구 신촌로 37 (신촌동),,02-412-2582,031-752-2584,육류 도매업,2004-11-03
75,사세,김광선,"충청북도 진천군 덕산면 산수산단3로 11 (산수리, (주)사세)",,031-340-3018,031-624-5692,육류 도매업,1997-09-01
76,서던퍼시픽,김중인,부산광역시 부산진구 부전동 474-80 유원빌딩1110호,,051-817-3727,051-816-9081,육류 도매업,1997-01-06
77,선영축산농업회사법인,김현애,부산광역시 사상구 모라로 39 (모라동)  (주)선영축산농업회사법인,pabcd0308.hanmail.net,051-302-7771,051-305-3074,육류 도매업,2002-01-01
78,선우프레시,"조민호, 조제효","경기도 성남시 분당구 미금일로90번길 36-9 (구미동, 앵거스박빌딩) 5층 일부",,15775259,0234711558,육류 도매업,2011-12-08
79,선화기업,김기봉,"서울특별시 성동구 고산자로 302 202호(마장동, 금천빌딩)",,02-2298-4503,02-2298-8294,육류 도매업,2010-07-19
80,성림미트앤푸드,이덕제,서울특별시 용산구 주성동 39-1,www.readytocook.co.kr,02-790-5319,02-749-5311,육류 도매업,1996-08-01
81,성우무역,박우영,서울특별시 서초구 강남대로 433 (서초동) 성우빌딩 5층,,02-533-5640,02-533-5642,육류 도매업,2012-09-06
82,성파,서운석,서울특별시 송파구 잠실동 35 트리지움 342동 2203호,,025991311,025996226,육류 도매업,1996-01-15
83,세중,강용수,경기도 광주시 진토길 13 (목동),www.se-joong.kr,0317976200,0317976230,육류 도매업,2009-03-20
84,수월한,임상훈,경상북도 문경시 신기산단2길 21 (신기동),,0539648166, ,육류 도매업,2013-06-17
85,시티유통,노호준,경기도 용인시 구성읍상하리 351,,031-282-0348,031-281-7445,육류 도매업,2003-08-29
86,신돈축산유통,윤경자,"경기도 안산시 단원구 만해로169번길 34 (신길동, 주식회사신돈축산유통)",,031-432-9241,031-432-9242,육류 도매업,2018-08-01
87,신성유통,정웅연,경기도 수원시 권선구 권선동 1025-4,,031-235-5212,031-235-5211,육류 도매업,2001-01-02
88,심우식품,"한운행, 한문갑",경상남도 김해시 분성로172번길 19 (외동),,051-301-9394,051-301-9390,육류 도매업,1998-09-10
89,쎄븐,이상수,경기도 용인시 기흥구 고매동 518-8,www.sevengm.com,031-754-6660,031-754-6668,육류 도매업,2000-08-28
90,쎄븐푸드,이상수,경기도 용인시 기흥구 동탄기흥로 748 3층(고매동),,031-285-0530, ,육류 도매업,2006-01-20
91,씨앤케이무역,최흥진,인천광역시 서구 소담1로 36,,032-710-2065,032-577-02045,육류 도매업,2016-02-04
92,아이델리,문병창,서울특별시 영등포구 영등포동 7가 94 - 46,www.ideli.co.kr,(02) 2678 - 7511,(02) 678 - 8701,육류 도매업,1994-12-07
93,애그미트,진용구,경기도 성남시 분당구 대왕판교로 279 (궁내동),,031-717-1166,031-719-1166,육류 도매업,1998-11-02
94,에스더블유컴퍼니,오희재,서울특별시 금천구 남부순환로112길 35 101 (가산동),,02-868-4791,02-866-4795,육류 도매업,2009-11-10
95,에이스푸드림,강경성,경기도 시흥시 금오로190번길 48-5 (무지내동),,031-503-2500,031-503-2508,육류 도매업,2013-04-30
96,에이젯시스템,박정운,광주광역시 광산구 사암로 860-10 (도천동),,062-962-0300,062-962-0311,육류 도매업,2006-01-01
97,에이젯푸드,최중원,부산광역시 북구 사상로583번길 6 (구포동),,051)303-4464,051)301-4406,육류 도매업,1999-04-29
98,에프엔프레시,최석문,"서울특별시 마포구 월드컵북로 396 (상암동, 누리꿈스퀘어) 16층",www.fnfresh.co.kr,02-3152-8088,02-6351-8088,육류 도매업,2017-05-31
99,엔에스에프서울,최세현,"경기도 성남시 수정구 위례광장로 21-9 3010호 (창곡동, 위례우남역KCC웰츠타워)",,031-778-8977,031-778-8978,육류 도매업,2019-03-01
100,엔에이치프라임미트,김동국,서울특별시 강남구 선릉로 616 드림타운1차 2층 (삼성동),,02-554-6062,02-554-6015,육류 도매업,2009-03-24
101,오케이미트,홍승수,서울특별시 강남구 강남대로58길 42 오케이빌딩(도곡동),okmeat.com,02-3443-0053,02-3443-3090,육류 도매업,2000-06-09
102,와가무역,유창우,"서울특별시 강남구 강남대로58길 42 1층(도곡동, 오케이빌딩)",,02-540-6588,02-540-6590,육류 도매업,2006-03-21
103,와이엠케이에프앤비,김민정,"서울특별시 영등포구 국회대로 786 (여의도동, B&B타워) 10층",,02-786-7700,02-786-7501,육류 도매업,2015-01-20
104,우성물류,김윤권,서울특별시 서초구 서초4동 1305-6 성우빌딩 4층,해당사항없음,(02)3482-3701,(02)3482-3702,육류 도매업,1965-03-26
105,우진미트,김홍수,"경기도 성남시 분당구 정자일로 1 (금곡동, 코오롱트리폴리스1) C동 2611호",,0317284486,0317284499,육류 도매업,2019-07-19
106,위드유컴퍼니,최용석,"서울특별시 성동구 청계천로10가길 76 (마장동, 위드유빌딩)",,070-4105-8501,02-2299-8501,육류 도매업,2015-03-24
107,유토인터내셔날,김학진,경기도 광주시 초월읍 경충대로1127번길 43 (쌍동리) 306호,,0234441193,0234441194,육류 도매업,2009-10-08
108,육대장,"이진수, 최형욱",서울특별시 마포구 양화로 164 유림빌딩 10층 (동교동),,02-334-4570,02-334-4560,육류 도매업,2013-01-25
109,은복프라임미트,남명철,광주광역시 북구 저불로39번길 23 (용봉동),,062)5286600,062)5286608,육류 도매업,2002-04-25
110,장나라미트,남필현,"서울특별시 강남구 봉은사로 129 (논현동, 거평타운) 412",,02-515-6441,02-546-6441,육류 도매업,2010-02-01
111,장스푸드,장조웅,"서울특별시 서초구 매헌로 40 (양재동, (주)장스푸드60계)",,02-6213-0192, ,육류 도매업,2015-05-01
112,정성과친절,김복래,"서울특별시 성동구 무학로14길 27 B01호 (하왕십리동, JC빌딩)",,02-2299-9915,02-2299-4005,육류 도매업,2004-12-15
113,정성미트앤푸드,곽영임,서울특별시 성동구 마조로16길 23 1층 (마장동),,070-7599-2825, ,육류 도매업,2019-05-16
114,정원프로비전스,서승찬,"서울특별시 성동구 고산자로 284 307호 일부 (행당동, 성동샤르망)",www.jwpro.co.kr/,02-2282-0912,070-5168-3330,육류 도매업,2014-11-28
115,제니스미트,김봉중,경기도 광주시 초월읍 동막골길 23 (선동리)  2층,,031-762-9111,031-762-3175,육류 도매업,2009-11-19
116,제니스유통,이광석,경기도 광주 초월 선동 251,WWW.ZENITH CO. KR,031-762-9111,031-762-9110,육류 도매업,1992-11-24
117,제이케이미트코퍼레이션,장봉근,"서울특별시 광진구 아차산로78길 44 (광장동, 크레스코빌딩)",,02-452-2325, ,육류 도매업,2012-12-01
118,제프바이오,윤상호,경기도 파주시 광탄면 마장리 78-10,www.etamra.co.kr,064-725-8700,064-725-8704,육류 도매업,2006-03-23
119,착한고기,김재욱,경기도 화성시 팔탄면 구장리 515-11,,031-8059-2464,031-8059-4330,육류 도매업,2009-07-28
120,청송축산유통,안정수,서울특별시 성동구 고산자로22길 4 (마장동),,02-2299-2438, ,육류 도매업,1999-06-26
121,초록뱀푸드팜,김세연,"서울특별시 영등포구 여의대로 24 50층(여의도동, 전국경제인연합회회관)",www.chorokbaemfoodfarm.com,02-566-2055,02-566-2056,육류 도매업,2014-12-16
122,총체보리한우유통사업단,박삼수,경기도 시흥시 방산동 128,,031-313-6684,031-312-6684,육류 도매업,2006-12-01
123,캐틀팜,김성식,"서울특별시 서초구 바우뫼로 130 (양재동, 한도빌딩) 402호",,02-2294-9292,02-2294-9196,육류 도매업,2010-03-10
124,컨슈머패키지커머스,김우영,"서울특별시 중구 통일로 86 (순화동, 바비엥3) 704호",https://www.cpfoods.co.kr,02-318-3470,02-2138-3422,육류 도매업,2017-12-21
125,케이미트광주,오중석,광주광역시 광산구 비아로135번길 8-10,,062-973-8031, ,육류 도매업,2009-09-14
126,케이미트선왕,최보근,"서울특별시 동작구 노들로2길 44 (노량진동, 케이미트)",,02-2102-4552,02-816-0901,육류 도매업,2009-08-03
127,케이미트에프앤비,이헌기,경기도 광주시 과수원길27번길 28 (경안동),,01052838760, ,육류 도매업,2020-06-17
128,케이엠에스이엔씨,이풍우,서울특별시 강남구 삼성동 143-48 대종빌딩 806호,,02-564-7197,02-564-7393,육류 도매업,2001-08-16
129,케이엠에스패밀리,문말수,서울특별시 강남구 봉은사로68길 41 (삼성동) 4층,,02-2295-6078,02-2295-6079,육류 도매업,2018-01-29
130,케이와이푸드,오상택,"서울특별시 송파구 송파대로34길 35 3층(송파동, (주)멕시카나빌딩)",www.cthome.co.kr,02-3433-1871,02-3433-1870,육류 도매업,2007-05-03
131,케이원통상,김장수,"인천광역시 연수구 컨벤시아대로42번길 8 (송도동, 송도코오롱더프라우1단지) 102동 309호",,032-584-8511, ,육류 도매업,2020-12-28
132,케이티미트,김현철,"서울특별시 성동구 고산자로 302 (마장동, 금천빌딩 204)",,070-7538-8443,02-2293-7775,육류 도매업,2012-05-20
133,케이티에이치아시아,김태희,"서울특별시 송파구 새말로5길 4-16 (문정동, 3층)",,02-400-0033,02-400-0013,육류 도매업,2011-01-20
134,코리아푸드,백현,경기도 용인시 기흥구 공세로 126-1 (공세동),www.banhanu.com,031-284-3733,031-629-7852,육류 도매업,2011-07-01
135,탑앤탑미트,김준형,대전광역시 대덕구 대전로1158번길 17 (오정동),,042-637-2058,042-637-2059,육류 도매업,2012-01-01
136,태우그린푸드,조규근,서울특별시 성동구 마장동 470-7,,02-2296-6761,02-2295-9966,육류 도매업,2006-01-01
137,태원트레이드,김연포,서울특별시 성동구 마장동 517 (동방빌딩 403호),,02-2291-3929,02-2291-3922,육류 도매업,2007-05-10
138,태진인터내셔날,박선홍,서울특별시 성동구 마장동 517 (동방빌딩 407호),,02-2299-3929,02-2299-3922,육류 도매업,2010-06-29
139,토실배기,문익관,"서울특별시 양천구 목동 771-30 2,3층",,02-2652-5151,02-2652-0663,육류 도매업,2003-09-17
140,트리플케이미트,박태호,"서울특별시 강동구 천호대로 1089 (천호동, 강동헤르셔) 2001호",,02)476-3487,02)477-3487,육류 도매업,2018-01-02
141,티엠케이,김범수,경기도 하남시 감북동 412-3,,02-475-9256,02-475-7234,육류 도매업,1998-10-01
142,팬텀트레이딩,김재영,"경기도 성남시 분당구 정자일로 158 제5층 502호(정자동, 백궁프라자2)",,031-717-0597,031-717-0598,육류 도매업,2013-12-01
143,퍼니베스트,김인곤,서울특별시 성동구 옥수동 218-1 영도캐피탈 1층,www.funivest.com,02-2297-9696,02-2297-5543,육류 도매업,2001-07-11
144,펜플,이정훈,서울특별시 송파구 중대로12길 6 2층(가락동),,02-6472-5504,02-508-1888,육류 도매업,2011-11-21
145,푸디버스,강원호 외 1명,"서울특별시 성동구 고산자로 300 (마장동, 동방빌딩) 405호",,02-2299-8911,02-2299-8910,육류 도매업,2012-04-05
146,피지엠인터내셔날,주동우,대구광역시 동구 효목동 1060,,02-782-1782,02-782-1783,육류 도매업,2001-08-24
147,필봉프라임엔터테인먼트,김성곤,서울특별시 송파구 문정동 70-5,phillbong.co.kr,02-443-4940,02-449-3688,육류 도매업,1997-02-20
148,하나프라임,김성현,"경기도 용인시 수지구 신수로 767 (동천동, 분당수지U-TOWER) A동 1605호",,0318899227,0312650949,육류 도매업,2006-02-20
149,하누산업,김동세,서울특별시 서초구 서초동 1624-1 영빌딩 6층,hanoo2000.co.kr,02)581-1818,02)581-3497,육류 도매업,2000-01-24
150,하림유통,정삼모,"전라북도 익산시 낭산면 진북로 701 (낭산리, (주)하림유통)",,063-861-9245,0303-0958-9246,육류 도매업,2011-01-01
151,하이랜드푸드,"서용욱, 윤영미",서울특별시 강동구 풍성로 235 하이랜드빌딩,,02-6423-3700,02-6008-0951,육류 도매업,2001-10-15
152,한결엘에스,김희수,경기도 광주시 오포읍 고산리 324-2,www.hangyulls.com,02-563-5448,02-563-5449,육류 도매업,1995-08-04
153,한국얼로드,여원종,서울특별시 송파구 가락2동 137번지 5호,,02-3401-2777,02-3401-1820,육류 도매업,1993-04-17
154,한울맘,김신곤,경상남도 창녕군 대지면 경남대로 4897-51 (효정리),,055-533-9133,055-533-2010,육류 도매업,1999-08-20
155,현성글로벌,이현강,"서울특별시 강남구 논현로172길 21 (신사동, 이화빌딩) 4층",,02-2135-9210,02-2135-9211,육류 도매업,2008-01-01
156,협동축산,구미민,서울특별시 금천구 독산동 293-29,zenithmeat.co.kr,02-893-7501,02-893-7506,육류 도매업,1999-10-08
157,혜성프로비젼,최광현,"서울특별시 강남구 논현로28길 54 6,7층 (도곡동, 덕원빌딩)",,02-529-2225,02-529-2232,육류 도매업,2003-02-24
158,화인판매,최선,전라남도 나주시 평산동 80-1,,061-331-8383,061-330-4507,육류 도매업,2003-12-10
159,회명농산,한창호,"충청남도 천안시 서북구 오성로 95-10 (두정동, 회명빌딩) 4층 402호",www.hoimyung.co.kr,041)413-2594,041)621-2366,육류 도매업,2015-11-01
160,회승,김석,"서울특별시 성동구 고산자로26길 5 (마장동, 협우정빌딩) 1층",,02-3395-0512,02-3395-0514,육류 도매업,2014-11-12
161,효성마케팅,김영보,"서울특별시 구로구 디지털로32길 30 504호(구로동, 코오롱디지털타워빌란트)",,0221035858,0221035859,육류 도매업,1998-07-14
